Nairobi Temperature [2 m elevation corrected],Nairobi Relative Humidity [2 m],Nairobi Wind Speed [10 m],Nairobi Wind Direction [10 m],Nairobi Sunshine Duration,Nairobi Shortwave Radiation,Nairobi Direct Shortwave Radiation,Nairobi Diffuse Shortwave Radiation,Sunscreen
20.56315,47,9.178235,48.179825,0,0,0,0,0
20.05315,49,8.435069,39.805573,0,0,0,0,0
19.523151,51,7.9036193,30.068573,0,0,0,0,0
18.923151,54,7.4128532,29.05458,0,0,0,0,0
18.373152,56,7.2,36.86989,0,0,0,0,0
17.90315,58,7.42159,39.09384,0,0,0,0,0
17.513151,60,7.24486,26.565033,0,0,0,0,0
17.293152,62,6.87779,6.0090027,19.521845,5.34,3.416285,1.923715,1
18.623152,60,6.28713,23.629364,57.89362,178.89,98.305046,80.58495,1
20.433151,56,9.686609,48.01277,58.085106,420.97,250.04456,170.92545,1
22.15315,52,12.10157,59.620865,59.04255,635.45996,402.24982,233.21014,1
23.623152,47,13.363711,62.74466,59.04255,806.33997,538.07605,268.26395,1
24.91315,43,13.202726,64.13365,60,922.04,642.02026,280.0197,1
26.033152,41,13.854155,65.43283,53.61702,970.99,689.0227,281.96732,1
26.90315,32,14.8257065,60.945396,53.61702,917.58997,663.93134,253.65865,1
27.693151,31,21.933426,66.8014,60,904.24,611.08453,293.15546,1
27.64315,30,21.749481,65.55604,56.170216,748.49,486.31955,262.17044,1
27.203152,31,21.2522,63.868996,53.872337,547.35,336.3199,211.0301,1
26.193151,33,19.969458,62.04902,40.851063,314.16998,179.81668,134.3533,1
24.83315,36,15.459054,62.241455,34.14468,72.09,38.346405,33.74359,1
23.783152,39,13.854155,65.43283,0,0,0,0,0
22.64315,43,13.049689,65.55604,0,0,0,0,0
21.703152,46,12.074766,63.43495,0,0,0,0,0
20.91315,50,11.4862,57.80426,0,0,0,0,0
20.363152,53,10.383987,56.30993,0,0,0,0,0
19.963152,56,10.009036,52.305756,0,0,0,0,0
19.39315,59,10.587918,54.68878,0,0,0,0,0
18.693151,62,10.086427,55.1755,0,0,0,0,0
18.103151,67,9.504272,52.696053,0,0,0,0,0
17.50315,72,8.913181,46.636566,0,0,0,0,0
16.953152,77,7.6367526,44.999985,0,0,0,0,0
16.58315,80,6.618519,44.999985,17.27039,5.34,3.3456407,1.9943595,1
17.48315,79,7.9036193,59.93141,52.148937,178,97.8407,80.1593,1
19.213152,72,10.464797,63.43495,52.531914,420.97,250.11469,170.85532,1
21.183151,64,14.182355,66.037506,46.97872,619.44,392.22192,227.2181,1
22.47315,58,16.78156,67.28559,45.829784,589.18,425.36108,163.81891,1
24.203152,50,19.161337,64.39781,58.468086,914.02997,640.6499,273.3801,1
25.673151,41,20.46941,66.13982,60,990.57,693.8613,296.70865,1
26.433151,38,21.129885,66.92959,53.61702,974.55,677.9015,296.64853,1
27.293152,34,24.967499,65.282555,60,899.79,608.123,291.667,1
27.07315,33,24.490585,65.69545,60,728.91,473.59436,255.31563,1
26.543152,34,23.871555,66.91487,60,543.79,334.0987,209.6913,1
25.513151,37,22.406927,66.31792,60,303.49,173.66832,129.82167,1
24.08315,41,17.551615,64.48612,49.916668,66.75,35.501072,31.248928,1
